产品名称,品牌,类型,价格区间(元/kg),月销量,主要成分,适合对象,特点,数据来源,备注
蓝氏猎鸟乳鸽冻干猫粮,蓝氏,猫粮,150-250,10000+,乳鸽冻干+生骨肉,成猫幼猫通用,冻干生骨肉,淘宝2024年2月热销榜冠军,
诚实一口P40高蛋白猫粮,诚实一口,猫粮,120-200,8000+,高蛋白乳鸽大鹅,成猫,增肥发腮,淘宝2024年2月热销榜第二,
阿飞和巴弟冻干猫粮,阿飞和巴弟,猫粮,100-180,7000+,E76益生菌+鸡肉,成猫幼猫通用,益生菌配方,淘宝2024年2月热销榜第三,
麦富迪猫粮,麦富迪,猫粮,50-120,50000+,均衡营养,全年龄,国产大牌,2024天猫品牌成交榜第一,
鲜朗鲜肉烘焙猫粮,鲜朗,猫粮,80-150,30000+,鲜肉烘焙,全年龄,烘焙粮市场占有率48.61%,2024天猫品牌成交榜第三,连续五年烘焙粮销量第一
弗列加特猫粮,弗列加特,猫粮,70-140,20000+,均衡配方,全年龄,性价比高,2024天猫品牌成交榜第四,
网易严选猫粮,网易严选,猫粮,60-130,25000+,严选供应链,全年龄,品质保证,2024线上GMV突破10亿,
梁小妖幼猫夹心粮,梁小妖,猫粮,90-150,15000+,单一鸡肉蛋白,幼猫(3-12月),新手养宠满意度96%,2022-2024连续三年淘宝新锐烘焙粮销量前三,
皇家猫粮,皇家,猫粮,100-200,40000+,分龄分品种,全年龄,科学配方,2024线上GMV突破10亿,
妙修猫粮,妙修,猫粮,80-140,12000+,适口性好,全年龄,泪痕管理,2025推荐榜单,
馋不腻猫粮,馋不腻,猫粮,60-120,18000+,82%动物原料,易过敏猫,消化率95.2%,2025推荐榜单,
宠率猫粮,宠率,猫粮,70-130,16000+,73%动物原料,全年龄,富含Omega-3,2025推荐榜单,
乐顿猫粮,乐顿,猫粮,65-120,14000+,0谷物0色素,肠胃敏感,低敏配方,2025推荐榜单,
渴望六种鱼猫粮,渴望,猫粮,250-400,8000+,85%动物蛋白,全年龄,高端进口,知乎高赞,
渴望六种肉猫粮,渴望,猫粮,250-400,7500+,85%动物蛋白,全年龄,高端进口,知乎高赞,
素力高美毛猫粮,素力高,猫粮,180-280,6000+,美毛配方,全年龄,美毛效果显著,2023双11新品TOP1,
欧恩焙低温烘焙猫粮,欧恩焙,猫粮,150-250,5500+,低温烘焙,全年龄,保留营养,进口品质,
怪兽部落98%鲜肉猫粮,怪兽部落,猫粮,200-300,4500+,98%鲜肉,全年龄,低敏无谷,高鲜肉含量,
Mobby莫比低敏猫粮,Mobby,猫粮,120-200,5000+,低敏配方+益生菌,肠胃敏感,无谷,适合敏感猫,
Nu4PET陪心宠粮,Nu4PET,猫粮,150-250,4000+,冻干+干粮,全年龄,低碳配方,体重管理,
Hyperr超跃冻干猫粮,Hyperr,猫粮,180-280,4200+,冻干混合,全年龄,无谷,热门冻干粮,
宠巴适猫粮,宠巴适,猫粮,100-200,22000+,高动物蛋白,全年龄,成分透明可溯源,2025年国产口碑榜首,
喵屿时光烘焙猫粮,喵屿时光,猫粮,80-150,13000+,鲜肉72小时烘焙,全年龄,保留98%鲜肉营养,小红书高赞,
爪爪引力冻干猫粮,爪爪引力,猫粮,150-250,9000+,冻干生骨肉,全年龄,-90℃超低温锁鲜,被称"猫界米其林",
萌爪纪元功能猫粮,萌爪纪元,猫粮,120-200,10000+,功能性配方,分龄,针对玻璃胃/泌尿问题,兽医联合研发,
猫生研究所猫粮,猫生研究所,猫粮,100-180,11000+,实验室级透明,全年龄,24小时工厂直播,原料可溯源,
咕噜星选烘焙猫粮,咕噜星选,猫粮,80-120,14000+,烘焙粮,全年龄,婴儿奶粉级灭菌,百元价位千元品质,
希喂猫粮,希喂,猫粮,120-200,8500+,循证营养学配方,全年龄,原料可溯源,宠物医生推荐,
比瑞吉猫粮,比瑞吉,猫粮,60-130,19000+,均衡营养,全年龄,国产老牌,销量稳定,
珍宝猫粮,珍宝,猫粮,50-100,17000+,经济型,全年龄,性价比高,入门级,
顽皮猫粮,顽皮,猫粮,55-110,16000+,均衡配方,全年龄,国产品牌,市场占有率高,
伯纳天纯猫粮,伯纳天纯,猫粮,80-150,15000+,天然配方,全年龄,品质稳定,小红书搜索量第一,⚠️ 有神经炎案例
爱肯拿猫粮,爱肯拿,猫粮,200-350,6500+,高蛋白,全年龄,渴望同厂,进口高端,
NOW猫粮,NOW,猫粮,150-250,7000+,无谷配方,全年龄,加拿大品牌,进口品质,
GO猫粮,GO,猫粮,140-230,6800+,无谷配方,全年龄,加拿大品牌,进口品质,
巅峰猫粮,巅峰,猫粮,300-500,3500+,风干生骨肉,全年龄,新西兰品牌,超高端,
K9猫粮,K9,猫粮,280-450,3200+,冻干生骨肉,全年龄,新西兰品牌,超高端,
百利猫粮,百利,猫粮,160-260,5500+,天然配方,全年龄,美国品牌,进口品质,
凌采猫粮,凌采,猫粮,120-200,6200+,露华浓代工,全年龄,台湾品牌,性价比高,
福摩猫粮,福摩,猫粮,150-240,5800+,无谷配方,全年龄,美国品牌,进口品质,
